Address,Status Code,Action,Priority,Has Source,Source Count,Example Sources,Attachment Match,Upload Month,Malformed URL,Why
https://coincu.com/wp-content/uploads/2022/09/Screenshot-2022-09-29-190556-1024x331.pngon,403,remove,P2,no,0,,no,2022/09,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/09/Screenshot-2022-09-16-113625-1024x444.pngion></figcaption><figcaption>Aptos:%20Guide%20Claim%20Testnet%20NFT%2011</figcaption></figure><figure%20class=,403,remove,P2,no,0,,no,2022/09,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/09/Screenshot-2022-09-16-114305-1024x506.pngion></figcaption><figcaption>Aptos:%20Guide%20Claim%20Testnet%20NFT%2012</figcaption></figure></figure><h2%20class=,403,remove,P2,no,0,,no,2022/09,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/08/4-1.pngion></figcaption><figcaption>What%20is%20Mine%20Arena%20($MARE)%20|%20The%20ultimate%20Battle%20Miner%20free-to-play%20NFT%20Game%2016</figcaption></figure></figure><h3%20class=,403,remove,P2,no,0,,no,2022/08,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/08/ddd.pngion></figcaption><figcaption>Overview%20of%20StarkWare%20–%20The%20most%20anticipated%20Layer-2%20solution%20in%202022%205</figcaption></figure></figure><h2%20id=,403,remove,P2,no,0,,no,2022/08,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/08/image-481-1024x479.pngion></figcaption><figcaption>Flow%20Blockchain%20|%20Building%20The%20Future%20Of%20Culture%20And%20Community%20In%20Web3.%205</figcaption></figure></figure><p>In%20this%20way,%20validator%20nodes%20are%20still%20involved%20in%20validating%20every%20transaction,%20but%20they%20only%20do%20one%20of%20the%20validation%20phases. </p><p>Thus,%20these%20Nodes%20can%20specialize%20and%20greatly<strong>%20increase%20the%20efficiency%20of%20transaction%20validation</strong>. This%20allows%20Flow%20to%20process%20transactions%20many%20times%20faster%20and%20with%20lower%20costs.</p><p>In%20addition,%20the%20Flow%20ecosystem%20is%20currently%20being%20considered%20a%20<strong>fertile%20land%20</strong>for%20NFT%20projects%20with%20a%20lot%20of%20potential%20for%20development,%20you%20can%20learn%20more%20about%20side%20projects%20and%20investment%20opportunities%20with%20<strong>Flow%20ecosystem</strong>%20right%20through%20the%20article%20below!</p><h3%20class=",403,remove,P2,no,0,,no,2022/08,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/09/polygon-1024x576.jpgion></figcaption><figcaption>Starbucks%20and%20Polygon%20cooperate%20to%20build%20Web3%20to%20increase%20user%20experience%201</figcaption></figure></figure><h2%20class=,403,remove,P2,no,0,,no,2022/09,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-388.pngion></figcaption><figcaption>NFT%20Tips:%20Evaluating%20New%20NFT%20Projects%207</figcaption></figure></figure><h2%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-1098-1024x487.pngion></figcaption><figcaption>Okay%20Bears:%20A%20More-Than-Okay%20Milestone%20for%20Solana%20NFTs%205</figcaption></figure></figure><p%20id=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/08/batch_Stepn-Strategicion></figcaption><figcaption>Analysis%20of%20STEPN%20development%20strategy.%20Will%20the%20project%20disappear?%205</figcaption></figure></figure><h3%20class=,403,remove,P2,no,0,,no,2022/08,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/07/image-30-1024x407.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%205</figcaption></figure></figure><p>According%20to%20Footprint%20Analytics,%20GameFi’s%20Total%20Transactions,%20since%20the%20first%20half%20of%202022,%20have%20generally%20tended%20to%20increase%20slightly.%20Reached%20a%20high%20of%2028,696,655%20on%20May%2028,%202022.%20Lowest%20on%20March%2013,%202022.</p><h3%20class=",403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/07/3333-1024x273.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%207</figcaption></figure></figure><p>Trend%20of%20trading%20volume%20daily%20was%20$3,847,254%20<strong>On%20June%2030,%202022</strong>,%20with%20Ronin,%20BNB%20Chain,%20and%20Harmony%20taking%20nearly%2090%</p><p><strong>No.%201</strong>:%20Ronin,%20$3,041,827%20(79,06%)</p><ul%20class=",403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/07/stepnusers-1024x261.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%208</figcaption></figure></figure><p>STEPN%20was%20<strong>officially%20launched%20in%20January</strong>%20and%20reached%20<strong>9,219%20daily%20active%20users</strong>%20and%20<strong>950,695%20total%20active%20users</strong>.%20According%20to%20recent%20announcements,%20STEPN’s%20total%20downloads%20have%20exceeded%20<strong>1%20million</strong>,%20the%20daily%20NFT%20transaction%20volume%20exceeded%20$10%20million,%20and%20the%20profit%20was%20$26%20million%20in%20Q1%20of%202022.%20The%20daily%20trading%20volume%20of%20its%20token%20GMT%20once%20exceeded%20Bitcoin.</p><figure%20class=",403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-32-1024x367-1.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%203</figcaption></figure><figure%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-33-1024x372-1.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%206</figcaption></figure><figure%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/ddd.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%201</figcaption></figure><figure%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/07/hungdothe.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%204</figcaption></figure></figure><p>Overall,%20starting%20from%202022,%20the%20Total%20trend%20of%20Gamers%20began%20to%20gradually%20decrease,%20gently%20to%20the%20present%20time.%20Peaked%20on%20January%206,%202022,%20with%201,584,161%20Gamers,%20currently%20with%20865,158%20gamers%20on%20June%2030,%202022.</p><p>Hive%20and%20WAX%20are%20alternately%20leading%20in%20the%20comparison%20of%20the%20number%20of%20players,%20and%20Starting%20in%20June%20two%20platforms%20have%20a%20strong%20downtrend</p><ul%20class=",403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-52.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%209</figcaption></figure></figure><p>The%20decentralized%20exchange%20(DEX)%20of%20the%20move-to-earn%20game%20STEPN%20is%20now%20the%20largest%20DEX%20on%20Solana.</p><ul%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/2222.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%2012</figcaption></figure></figure><h2%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
"https://coincu.com/wp-content/uploads/2022/07/image-58.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%2010</figcaption></figure></figure><p>The%20Pixelmon%20project%20and%20its%20marketing%20turned%20out%20to%20be%20misleading.%20Many%20investors%20expected%20high-quality%20NFTs%20and%20gameplay,%20but%20clearly,%20the%20team%20did%20not%20live%20up%20to%20its%20promises.%20How%20many%20projects%20in%20the%20Metaverse%20and%20GameFi%20space%20often%20claim%20to%20be%20revolutionary,%20yet%20their%20roadmap%20does%20not%20get%20accomplished?%20Do%20any%20of%20these%20projects%20deserve%20multi-billion%20dollar%20valuations?</p><p>Additionally,%20Pixelmon%20<strong>raised%20US$70%20million</strong>%20in%20a%20mint%20event%20this%20morning%20to%20build%20what%20it%20says%20will%20be%20an%20<strong>AAA-quality%20Web3%20game%20</strong>that%20involves%20catching%20and%20trading%20Pixelmon%20creatures.%20<a%20href=",403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/33333.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%2011</figcaption></figure><figure%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
https://coincu.com/wp-content/uploads/2022/07/image-31-1024x387-1.pngion></figcaption><figcaption>GameFi%20Market%20Report%20First%20Half%20Of%202022%202</figcaption></figure><figcaption%20class=,403,remove,P2,no,0,,no,2022/07,yes,Malformed image URL has no current post-content source; remove it from sitemap discovery and residual content references.
