post_id,post_name,url,issue_types,issue_count,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3
398349,transfi-faces-review-on-19-2m-claim-amid-stablecoin-push,https://coincu.com/transfi-faces-review-on-19-2m-claim-amid-stablecoin-push/,raw_url_in_parentheses,1,0,0,0,0,5,1,no,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|press_release_wire_style|no_local_gsc_backlink_signal," processed-volume milestone and global reach, without referencing any $19.2 million funding, according to GlobeNewswire (https://www.globenewswire.com/news-release/2026/03/10/3252538/0/en/TransFi-Surpasses-1-Billion-in-Processed-Volume-Expands-Cross-Border-Payments-Reach-Across-70-Countries.html).</p><p>Based on available materials, investor names, round labels, and transaction terms cannot be reported with confidence. The figure should be treated as unconfirmed until corr",,
368151,crypto-market-update-pepeto-advances-presale-with-staking-rewards-and-live-exchange-demo,https://coincu.com/crypto-market-update-pepeto-advances-presale-with-staking-rewards-and-live-exchange-demo/,raw_url_after_colon,1,0,0,0,0,0,6,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"ate in the Pepeto Presale</strong></p> <p>Interested participants can join the live presale through the official website: https://pepeto.io. Purchases are available using USDT, ETH, BNB, or credit card, and holders can stake tokens immediately for 221% APY rewards while awaiting upcoming listings.</p> <p><strong>Discla",,
367724,dreamcash-celebrates-100000-waitlist-signups-with-exclusive-50k-giveaway-series,https://coincu.com/dreamcash-celebrates-100000-waitlist-signups-with-exclusive-50k-giveaway-series/,raw_url_after_colon,1,0,0,0,0,0,6,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal," from the explosive growth in decentralized perpetual derivatives trading.</p> <p>Follow Dreamcash:</p> <ul> <li>Twitter: https://x.com/Dreamcashxyz</li> <li>Website: <a target=""_blank"" rel=""nofollow noopener"" href=""https://dreamcash.xyz/"">https://dreamcash.xyz/</a></li> </ul> <p>Note to editors: High-resolution images and add",,
356150,7800-per-day-can-be-earned-by-xrp-holders-from-goldenminings-xrp-contracts-despite-a-fall-in-ripple-xrp-prices,https://coincu.com/7800-per-day-can-be-earned-by-xrp-holders-from-goldenminings-xrp-contracts-despite-a-fall-in-ripple-xrp-prices/,broken_url_interrupted_by_anchor,1,0,0,0,0,0,4,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal," ensure the safety of their wealth.</p> <p>For more information, please visit GoldenMining&#8217;s official website: https://<a href=""http://www.goldenmining.com"" target=""_blank"" rel=""noopener"">www.goldenmining.com</a></p> <p>Or contact us via email: info@goldenmining.com</p> <figure class=""wp-block-table""",,
349410,sunnymining-launches-btc-exclusive-cloud-mining-service-to-help-users-earn-daily-crypto-income-for-free,https://coincu.com/sunnymining-launches-btc-exclusive-cloud-mining-service-to-help-users-earn-daily-crypto-income-for-free/,broken_url_interrupted_by_anchor,1,0,0,0,0,0,8,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"1cWRisQpQjw"" alt="""" title=""""></a><figcaption class=""wp-element-caption""> </figcaption></figure> <p>Official Website: https://<a href=""http://www.sunnymining.com/"" target=""_blank"" rel=""noopener"">www.sunnymining.com</a></p> <p>App: <a href=""https://sunnymining.com/xml/index.html#/app"" target=""_blank"" rel=""noope",,
342941,bcc-mining-free-cloud-mining-one-stop-service-increase-stable-income,https://coincu.com/bcc-mining-free-cloud-mining-one-stop-service-increase-stable-income/,raw_url_after_colon,1,0,0,0,0,0,9,yes,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|press_release_wire_style|no_local_gsc_backlink_signal,"1krskvHhGHploCEf3VLIRZsWcI1L6bg?key=uVgCdrJ_p7c3rfXw0OBKPw"" alt="""" title=""""></a></figure> <p><strong>Official website: https://bccmining.com/</strong></p> <p><strong>Contact email: info@bccmining.com</strong></p> <p><strong>Download for Android or Apple: </strong><a href=""https://www.bccmining.com/xml/index.html#/",,
330672,bitcoin-mining-made-easier-how-za-miner-eliminates-bitcoin-mining-barriers-through-ai-driven-cloud-mining,https://coincu.com/bitcoin-mining-made-easier-how-za-miner-eliminates-bitcoin-mining-barriers-through-ai-driven-cloud-mining/,raw_url_after_colon,1,0,0,0,0,5,6,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"iner.com&nbsp;&nbsp;</strong></p> <p><a href=""https://www.zaminer.com"" target=""_blank"" rel=""noopener""><strong>Website: https://www.zaminer.com&nbsp;</strong></a></p> <figure class=""wp-block-image size-full""><img width=""799"" height=""483"" src=""https://coincu.com/wp-content/uploads/2025/04/image-1-10.jpg"" alt="""" class=""wp-imag",,
300500,to-catalyze-ai-infrastructure-open-launches-webisopen-point-system,https://coincu.com/to-catalyze-ai-infrastructure-open-launches-webisopen-point-system/,raw_url_after_colon,1,0,0,0,0,0,6,no,yes,no,FAIL,delete_candidate_high,link_citation_format_fail|press_release_wire_style|no_local_gsc_backlink_signal,"lank"">@owlonmusk_</a> campaign will be automatically bridged/converted to $OPEN points. Check the previous campaign here: https://x.com/Owlonmusk_/status/1856245362870411344</p> <p>The exact calculation of $OPEN points and utilities are yet to be disclosed. Details should soon be available at <a href=""https://webisopen.com/"" rel=""nofollow noopener"" ta",,
289020,invest-in-bitconemine-and-start-your-retirement-life-early,https://coincu.com/invest-in-bitconemine-and-start-your-retirement-life-early/,raw_url_after_colon,1,0,0,0,0,3,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"t started, or an experienced miner looking for advanced options, this is the best choice! For more details, please visit: https://bitconemine.com</p> <figure class=""wp-block-table""><table class=""has-luminous-vivid-orange-color has-text-color has-link-color has-fixed-layout""><tbody><tr><td><strong><em>Disclaimer: The text",,
287475,bitconemines-top-blockchain-service-team-allows-you-to-focus-on-profits,https://coincu.com/bitconemines-top-blockchain-service-team-allows-you-to-focus-on-profits/,raw_url_after_colon,1,0,0,0,0,7,5,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"p> <p>The platform has a professional technical support team at your service 24/7. For more information, please visit: https://bitconemine.com</p> <figure class=""wp-block-table""><table class=""has-luminous-vivid-orange-color has-text-color has-link-color has-fixed-layout""><tbody><tr><td><strong><em>Disclaimer: The text",,
