post_id,post_name,url,issue_types,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3
298869,best-new-meme-coins-to-invest-in-for-the-short-term-btfd-coin-offers-50-off-its-presale-as-pudgy-penguins-and-spx6900-go-up,https://coincu.com/best-new-meme-coins-to-invest-in-for-the-short-term-btfd-coin-offers-50-off-its-presale-as-pudgy-penguins-and-spx6900-go-up/,visible_raw_url_in_text,0,0,0,0,5,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal, 12 rates. Don’t wait— take advantage of this offer before it’s gone! Find Out More: Website: https://www.btfd.io/ X/Twitter: https://x.com/BTFD_COIN Telegram: https://t.me/btfd_coin Disclaimer: The text above is an advertorial article that is not part of Coincu.com ,,
298866,top-new-meme-coins-to-invest-in-now-btfd-coins-insane-50-presale-discount-memecoins-leap-and-baby-doges-success,https://coincu.com/top-new-meme-coins-to-invest-in-now-btfd-coins-insane-50-presale-discount-memecoins-leap-and-baby-doges-success/,visible_raw_url_in_text,0,0,0,0,5,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,sp; Trust us—this is one meme coin you’ll want in your portfolio! Find Out More: Website: https://www.btfd.io/ X/Twitter: https://x.com/BTFD_COIN Telegram: https://t.me/btfd_coin Disclaimer: The text above is an advertorial article that is not part of Coincu.com ,,
298854,qubetics-presale-0-037-top-altcoin-to-join-as-polygon-algorand-surge,https://coincu.com/qubetics-presale-0-037-top-altcoin-to-join-as-polygon-algorand-surge/,visible_raw_url_in_text,0,0,0,0,4,13,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,and take a step towards being part of something extraordinary. For More Information: Qubetics: https://qubetics.com Telegram: https://t.me/qubetics Twitter: https://x.com/qubetics Disclaimer: The text above is an advertorial article that is not part of Coincu.com edi,,
298849,top-new-meme-coin-presales-to-invest-in-today-btfd-coins-50-discount-shocks-market,https://coincu.com/top-new-meme-coin-presales-to-invest-in-today-btfd-coins-50-discount-shocks-market/,visible_raw_url_in_text,0,0,0,0,5,13,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,ket wave with BTFD. Ready to hop on? The dip is calling—answer it now! Find Out More: Website: https://www.btfd.io/ X/Twitter: https://x.com/BTFD_COIN Telegram: https://t.me/btfd_coin Disclaimer: The text above is an advertorial article that is not part of Coincu.com ,,
298832,why-investing-in-qubetics-could-be-your-second-chance-after-missing-xrps-meteoric-rise,https://coincu.com/why-investing-in-qubetics-could-be-your-second-chance-after-missing-xrps-meteoric-rise/,visible_raw_url_in_text,0,0,0,0,0,11,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,TICS tokens today and be part of the next big thing in crypto. For More Information: Qubetics: https://qubetics.com/ Telegram: https://t.me/qubetics &nbsp; Twitter: https://twitter.com/qubetics &nbsp; Disclaimer: The text above is an advertorial article that is not part o,,
298812,best-new-meme-coins-to-join-today-btfd-presale-drops-prices-by-50-as-bonks-token-burn-fires-up-and-shiba-inu-expands-ecosystem,https://coincu.com/best-new-meme-coins-to-join-today-btfd-presale-drops-prices-by-50-as-bonks-token-burn-fires-up-and-shiba-inu-expands-ecosystem/,visible_raw_url_in_text,0,0,0,0,4,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"g wave. The question is, will you seize the dip or let it pass you by? Find Out More: Website: https://www.btfd.io/ X/Twitter: https://x.com/BTFD_COIN Telegram: https://t.me/btfd_coin Disclaimer: The text above is an advertorial article that is not part of Coincu.com ",,
298679,qubetics-x-swft-blockchain-best-crypto-presale-solana-and-fantom,https://coincu.com/qubetics-x-swft-blockchain-best-crypto-presale-solana-and-fantom/,visible_raw_url_in_text,0,0,0,0,4,13,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal, moment to seize a stake in the next big crypto success story. For More Information: Qubetics: https://qubetics.com Telegram: https://t.me/qubetics Twitter: https://x.com/qubetics Disclaimer: The text above is an advertorial article that is not part of Coincu.com edi,,
298729,wish-youd-bought-bonk-at-the-start-now-grab-a-50-discount-with-this-top-trending-meme-coin-presale-before-its-too-late,https://coincu.com/wish-youd-bought-bonk-at-the-start-now-grab-a-50-discount-with-this-top-trending-meme-coin-presale-before-its-too-late/,visible_raw_url_in_text,0,0,0,0,5,13,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"big win. Act now—the bulls are charging, and fortune favours the bold! Find Out More: Website: https://www.btfd.io/ X/Twitter: https://x.com/BTFD_COIN Telegram: https://t.me/btfd_coin Disclaimer: The text above is an advertorial article that is not part of Coincu.com ",,
298634,6430-potential-gains-in-web3bay-presale-updates-on-solana-chainlink,https://coincu.com/6430-potential-gains-in-web3bay-presale-updates-on-solana-chainlink/,visible_raw_url_in_text,0,0,0,0,4,11,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,where early involvement could lead to substantial benefits. Join Web3Bay Presale Now: Presale: https://web3bay.io/buy Website: https://web3bay.io/ Twitter: https://x.com/web3bayofficial Instagram: https://www.instagram.com/web3bayofficial/ &nbsp; Disclaimer: The ,,
298618,web3bay-presale-turn-100-into-6333-invest-in-the-future-of-e-commerce,https://coincu.com/web3bay-presale-turn-100-into-6333-invest-in-the-future-of-e-commerce/,visible_raw_url_in_text,0,0,0,0,2,10,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,t’s a chance to be part of a platform shaping the future of e-commerce. Join Web3Bay Presale Now: Presale: https://web3bay.io/buy Website: https://web3bay.io/ Twitter: https://x.com/web3bayofficial Instagram: https://www.instagram.com/web3bayofficial/ Disclaimer: The text abo,,
