post_id,post_name,url,issue_types,gsc_clicks,gsc_impressions,backlinks,ref_domains,h2_count,anchor_count,promo_pattern,wire_style,claim_check_style,writing_qc_verdict,suggested_action,why,sample_1,sample_2,sample_3
212961,bot-stolen-keys-friendtech-earned-2m,https://coincu.com/bot-stolen-keys-friendtech-earned-2m/,visible_raw_url_in_text,0,0,0,0,0,6,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"r the trader is able to buy it at the same block with the key subject. Kudos to @arixoneth for the amazing analysis https://t.co/gaadjGpfFx pic.twitter.com/R1DTlt8HCP &mdash; Tom Wan (@tomwanhh) August 23, 2023 In which, Bot: 0xCC…Cc85 made a profit of about 580,000 USD from 96 Keys. August 21 was the p",,
212723,thailands-prime-minister-airdrop-national-token,https://coincu.com/thailands-prime-minister-airdrop-national-token/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,ute investment advice. We encourage you to do your own research before investing. Join us to keep track of news: https://linktr.ee/coincu Chubbi Coincu News ,,
212656,3-pendle-pools-affected-balancers-measures,https://coincu.com/3-pendle-pools-affected-balancers-measures/,visible_raw_url_in_text,0,0,0,0,0,6,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,". Funds in the impacted pools are safe but swaps in the underlying Balancer pools have been disabled, which means no… https://t.co/45WogcX25c pic.twitter.com/5qHwnT6gbz &mdash; Pendle (@pendle_fi) August 22, 2023 As per previous information, Balancer Labs has received reports of a critical vulnerability",,
212294,whale-sends-1736-mkr-worth-1-89m-usd-to-binance,https://coincu.com/whale-sends-1736-mkr-worth-1-89m-usd-to-binance/,visible_raw_url_in_text,0,0,0,0,0,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"y then sold via #DEX and deposited to #Binance at $1,110 on avg ($3.7M). Total estimated profit: $357K (+10.67%). https://t.co/cwcStWaYGR pic.twitter.com/FCskNGn09s &mdash; Spot On Chain (@spotonchain) August 22, 2023 Interestingly, this specific address, 0x828, had previously executed a strategic pur",,
212256,friendtech-problems-access-control,https://coincu.com/friendtech-problems-access-control/,visible_raw_url_in_text,0,0,0,0,0,12,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,"des wallet addresses, Twitter names/IDs/avatars of more than 101,000 individuals. Leaked database of 101,000 https://t.co/toyrYk1R2p users links their ETH addresses https://t.co/Q3eqfPnFyx &mdash; The Block (@TheBlock__) August 21, 2023 The above message was found after analysts at Spot On chain ",,
212147,mandala-capital-3-6-million-arb-tokens-to-okx,https://coincu.com/mandala-capital-3-6-million-arb-tokens-to-okx/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,ute investment advice. We encourage you to do your own research before investing. Join us to keep track of news: https://linktr.ee/coincu Chubbi Coincu News ,,
212023,shocking-88-3-of-short-term-btc-holders,https://coincu.com/shocking-88-3-of-short-term-btc-holders/,visible_raw_url_in_text,0,0,0,0,0,7,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal," they hold is in the green. Potentially a &#39;top heavy&#39; market in near term (as indicated in last weeks report https://t.co/DKFhcAbVyt ). That said, STH supply is near all-time-lows. pic.twitter.com/UIBMCRCNnB &mdash; _Checkɱate ????⚡????☢️????️ (@_Checkmatey_) August 21, 2023 The data presented in",,
211983,88-3-short-term-btc-holders-loss-sth-record-low,https://coincu.com/88-3-short-term-btc-holders-loss-sth-record-low/,visible_raw_url_in_text,0,0,0,0,0,8,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal," they hold is in the green. Potentially a &#39;top heavy&#39; market in near term (as indicated in last weeks report https://t.co/DKFhcAbVyt ). That said, STH supply is near all-time-lows. pic.twitter.com/UIBMCRCNnB &mdash; _Checkɱate ????⚡????☢️????️ (@_Checkmatey_) August 21, 2023 Short-term Holders (S",,
211908,sui-65-drop-mainnet-launch-community-sell-off,https://coincu.com/sui-65-drop-mainnet-launch-community-sell-off/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,ute investment advice. We encourage you to do your own research before investing. Join us to keep track of news: https://linktr.ee/coincu Chubbi Coincu News ,,
211831,makerdao-profit-drop-plummets-2-million,https://coincu.com/makerdao-profit-drop-plummets-2-million/,visible_raw_url_in_text,0,0,0,0,0,3,yes,no,no,FAIL,delete_candidate_high,link_citation_format_fail|promotional_or_money_page_pattern|no_local_gsc_backlink_signal,ute investment advice. We encourage you to do your own research before investing. Join us to keep track of news: https://linktr.ee/coincu Chubbi Coincu News ,,
