batch_number,batch_file,row_count,first_post_id,last_post_id,first_url,last_url
3,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-3-non-wire-200-2026-05-21.csv,200,401885,361120,https://coincu.com/bitmine-immersion-technologies-bmnr-announces-eth-holdings-reach-5-21-million-tokens-and-total-crypto-and-total-cash-holdings-of-13-4-billion/,https://coincu.com/top-7-cutting-edge-blockchain-crypto-mining-platforms-leading-the-market-as-the-best-earning-platforms/
4,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-4-non-wire-200-2026-05-21.csv,200,361081,323645,https://coincu.com/xrp-adoption-expands-as-fleet-miner-turns-holdings-into-predictable-passive-income-register-now-and-receive-a-15-bonus/,https://coincu.com/arctic-pablo-coin-presale-heats-up-best-new-meme-coins-to-invest-in-for-short-term/
5,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-5-non-wire-200-2026-05-21.csv,200,323520,298884,https://coincu.com/best-meme-coin-to-buy-today-arctic-pablo-presale-heats-up-with-toshi-dogwifhat-updates/,https://coincu.com/qubetics-raises-7-8m-in-presale-while-cardano-and-polkadot-rally-toward-gains/
6,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-6-non-wire-200-2026-05-21.csv,200,298869,213686,https://coincu.com/best-new-meme-coins-to-invest-in-for-the-short-term-btfd-coin-offers-50-off-its-presale-as-pudgy-penguins-and-spx6900-go-up/,https://coincu.com/upbits-dunamus-significant-sales-drop/
7,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-7-non-wire-200-2026-05-21.csv,200,212961,188688,https://coincu.com/bot-stolen-keys-friendtech-earned-2m/,https://coincu.com/psyop-founder-accused-of-misleading-buyers/
8,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-8-non-wire-200-2026-05-21.csv,200,188337,178822,https://coincu.com/blackrock-fund-withdraws-1-27t-pepe-binance/,https://coincu.com/mev-blocker-rpc-launched/
9,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-9-non-wire-200-2026-05-21.csv,200,178764,165538,https://coincu.com/sui-network-airdrop/,https://coincu.com/former-coinbase-pleads-guilty-to-wire-fraud/
10,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-10-non-wire-200-2026-05-21.csv,200,165463,150828,https://coincu.com/charities-in-turkey-raise-millions-crypto/,https://coincu.com/inner-mongolian-12-bil-fraud-crypto/
11,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-11-non-wire-200-2026-05-21.csv,200,150689,130060,https://coincu.com/sbf-secretly-sponsored-the-block/,https://coincu.com/exchanges-korea-earn-10b-won-fees-from-luna/
12,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-12-non-wire-200-2026-05-21.csv,200,129983,106082,https://coincu.com/ethereum-blocks-surge-due-to-the-merge/,https://coincu.com/meme-coins-taken-over-whale-holdings/
13,/home/thana2/qc-coincu-only/Coincu/coincu-broken-citation-high-confidence-delete-batch-13-non-wire-8-2026-05-21.csv,8,105999,104908,https://coincu.com/nexo-continues-to-rescue-the-vauld/,https://coincu.com/daniel-cheung-ethereum-will-500/
