batch_no,row_no,post_id,post_name,find_url,replace_url,precheck_status,before_count,attempted_update,after_count,update_status,note
1,1,394990,starknet-enables-kyc-defi-via-ey-nightfall-integration,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,2,394015,cbdcs-face-scrutiny-as-ray-dalio-warns-on-privacy,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,3,223305,top-5-best-anonymous-casinos,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,4,249111,free-bitcoin-code,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,5,226681,top-5-biggest-crypto-airdrops,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,6,157388,top-5-dex-on-solana-update,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
1,7,227179,top-bridge-projects-on-layerzero,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,8,223112,top-5-best-crypto-mining-apps,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
1,9,260136,free-crypto-sign-up-bonuses,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,1,yes,0,200,updated
1,10,250062,bitstarz-login-step-by-step-guide,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,11,262882,standard-chartered-bank-predicts-bitcoin-surge,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,12,262877,jpmorgan-warns-us-regulators-crypto-cbdcs,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,13,262857,the-sandbox-secures-20m-kingsway-capital,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,14,262848,european-central-bank-rate-cut-in-five-years,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,15,262838,us-unemployment-claims-surge-to-229000,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,16,262830,robinhood-to-acquire-crypto-exchange-bitstamp,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,17,262670,blackrock-and-citadel-texas-stock-exchange,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,18,262663,sec-chair-gary-gensler-criticizes-crypto,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,19,262649,qcp-capital-predicts-btc-hit-74k-expects-eth-etf,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
2,20,262632,upbit-to-introduce-new-taiko-taiko-trading-pairs,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
3,21,262620,zksync-v24-update-mainnet-deployment-set-june-6,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
3,22,262613,tether-invests-18-75-million-in-xrex-group,https://coincu.com/c/knowledge/,https://coincu.com/knowledge/,200,2,yes,0,200,updated
