source_url,source_type,source_id,source_post_status,candidate_link_rows,matched_link_rows,replaced_occurrences,updated_live,result_status,note
https://coincu.com/1011-flash-crash-borrow-binance/,posts,380898,publish,1,1,2,yes,ok,
https://coincu.com/10b-eth-shorts-at-risk-if-price-pumps-10/,posts,365102,publish,1,1,1,yes,ok,
https://coincu.com/11b-short-squeeze-ahead/,posts,379718,publish,2,2,2,yes,ok,
https://coincu.com/2-20-breakout-looms-xrp-holders-brace/,posts,391451,publish,2,2,2,yes,ok,
https://coincu.com/21shares-adds-6-new-crypto-etps-to-nasdaq/,posts,379379,publish,1,1,1,yes,ok,
https://coincu.com/21shares-dogecoin-etf-rumor/,posts,363969,publish,2,2,2,yes,ok,
https://coincu.com/21shares-dogecoin-spot-etf-nasdaq/,posts,390597,publish,1,1,1,yes,ok,
https://coincu.com/21shares-files-for-ondo-etf/,posts,393736,publish,2,2,2,yes,ok,
https://coincu.com/21shares-files-s-1-with-sec-to-launch/,posts,373077,publish,2,2,2,yes,ok,
https://coincu.com/21shares-launches-first-us-polkadot-etf/,posts,397233,publish,1,1,1,yes,ok,
https://coincu.com/21shares-launches-jitosol-staking-etp-on/,posts,392461,publish,1,1,1,yes,ok,
https://coincu.com/21shares-spot-solana-etf-launch/,posts,379159,publish,2,2,4,yes,ok,
https://coincu.com/21shares-xrp-etf-approved-what-to-expect/,posts,380548,publish,2,2,2,yes,ok,
https://coincu.com/21x-us-market-blockchain-exchange/,posts,366933,publish,1,1,2,yes,ok,
https://coincu.com/4-2b-in-btc-eth-options-expire/,posts,361745,publish,2,2,2,yes,ok,
https://coincu.com/4b-in-tokenized-assets-enter-aave/,posts,376536,publish,1,1,1,yes,ok,
https://coincu.com/773m-token-unlocks-threaten-market-as/,posts,365290,publish,2,2,2,yes,ok,
https://coincu.com/840m-ondo-token-unlock-incoming/,posts,387355,publish,1,1,1,yes,ok,
https://coincu.com/965m-xrp-pulled-from-exchanges/,posts,373949,publish,1,1,1,yes,ok,
https://coincu.com/99-4-of-bitcoin-in-profit-as-bulls-eye/,posts,367143,publish,2,2,2,yes,ok,
https://coincu.com/a16z-crypto-expands-into-asia-with-new/,posts,382643,publish,1,1,2,yes,ok,
https://coincu.com/a16z-crypto-urges-us-legislation/,posts,370694,publish,2,2,4,yes,ok,
https://coincu.com/a16z-raises-15b-projects-crypto-growth/,posts,387803,publish,2,2,4,yes,ok,
https://coincu.com/aave-bearish-flag-potential-drop-to-130/,posts,381709,publish,1,1,1,yes,ok,
https://coincu.com/aave-eyes-670-resistance-multi-year-holds/,posts,383797,publish,1,1,1,yes,ok,
https://coincu.com/aave-forms-bullish-setup-surge-230/,posts,377608,publish,1,1,1,yes,ok,
https://coincu.com/aave-founder-sells-ethena-tokens/,posts,364889,publish,1,1,1,yes,ok,
https://coincu.com/aave-holds-above-159-support-targets-175/,posts,387683,publish,1,1,1,yes,ok,
https://coincu.com/aave-integrates-cow-protocol/,posts,381507,publish,1,0,0,no,no_match_in_raw,No candidate old URLs found in current raw content
https://coincu.com/aave-labs-defi-app-launch/,posts,378766,publish,1,1,1,yes,ok,
https://coincu.com/aave-plasma-chain-deposits/,posts,365154,publish,2,2,4,yes,ok,
https://coincu.com/aave-price-looks-set-to-surge-toward-125/,posts,378433,publish,1,1,1,yes,ok,
https://coincu.com/aave-removes-usds-collateral/,posts,381337,publish,2,2,2,yes,ok,
https://coincu.com/aave-surges-past-bullish-flag-target-130/,posts,386364,publish,1,1,1,yes,ok,
https://coincu.com/aave-surpasses-1b-in-rwas-as-token/,posts,395316,publish,1,1,1,yes,ok,
https://coincu.com/aave-whale-usdt-utilization-spike/,posts,376529,publish,2,2,2,yes,ok,
https://coincu.com/abracadabra-defi-hack-tornado-cash/,posts,366587,publish,2,2,2,yes,ok,
https://coincu.com/abraxas-capital-short-profit/,posts,379534,publish,1,1,1,yes,ok,
https://coincu.com/ada-breakdown-looms/,posts,364613,publish,3,3,3,yes,ok,
https://coincu.com/ada-breaks-trendline-as-charts-signal-40/,posts,382383,publish,2,2,2,yes,ok,
https://coincu.com/ada-eyes-recovery-in-descending-channel/,posts,393802,publish,1,1,1,yes,ok,
https://coincu.com/ada-must-break-downtrend-to-new-highs/,posts,391996,publish,1,1,1,yes,ok,
https://coincu.com/ada-near-breaking-point/,posts,385813,publish,1,1,1,yes,ok,
https://coincu.com/ada-on-the-edge-will-0-33-hold/,posts,392288,publish,1,1,1,yes,ok,
https://coincu.com/ada-price-action-bounce-toward-0-53/,posts,390669,publish,1,1,1,yes,ok,
https://coincu.com/ada-reach-previous-3000-targeting-5-81/,posts,379256,publish,1,1,1,yes,ok,
https://coincu.com/ada-shows-early-rebound-signs-with-bullish-divergence-and-double-bottom-targeting-0-50/,posts,384296,publish,1,1,1,yes,ok,
https://coincu.com/ada-tests-key-0-52-level-strong-rebound-incoming/,posts,376308,publish,1,1,1,yes,ok,
https://coincu.com/alameda-ftx-wallets-crypto-assets/,posts,367245,publish,1,1,2,yes,ok,
https://coincu.com/algo-eyes-0-32-after-smashing-resistance/,posts,356351,publish,1,1,1,yes,ok,
https://coincu.com/altcoin-profits-collapse-as-bitcoin-hits/,posts,378563,publish,2,2,2,yes,ok,
https://coincu.com/altcoin-rotation-is-gradually-coming-to/,posts,363776,publish,1,1,1,yes,ok,
https://coincu.com/altcoin-season-index-drops-34/,posts,368269,publish,1,1,2,yes,ok,
