category_id,category_name,category_slug,post_count
12404,News,news,575
2,Markets,markets,362
3,Bitcoin,bitcoin,66
8,Analysis,analysis,64
4,Ethereum,ethereum,58
7,Blockchain,blockchain,46
13768,Scam Alert,scam-alert,30
45990,Binance Alpha,binance-alpha,13
38241,Altcoin,altcoin,12
12060,Airdrop,airdrop,12
10538,DeFi,defi,10
45998,Gate Alpha,gate-alpha,9
12405,NFTs News,nfts-news,6
46279,Deep Analysis,deep-analysis,3
39400,CMC,cmc,2
12416,Sponsored Articles,sponsored-articles-pr,2
10537,GameFi,gamefi,2
46009,Solana,solana,1
28491,Top Projects,top-projects,1
